rsi_handle,display,rank,roles,discord_nickname,discord_match_typ,discord_match_prozent
Flee21,Flee,Diamant,,,,
Flitschflatsch,Flitschflatsch,Diamant,,,,
Floly,Floly,Diamant,,,,
Force,Force,Diamant,,,,
Fragoon,Elaaar,Diamant,,,,
Franky62,Franky62,Diamant,,,,
Freebird,Freebird,Diamant,,,,
Friedrich09,Friedrich_:),Diamant,,,,
Frihed1007,Frihed1007,Diamant,,,,
FritzP,Fritz,Diamant,,,,
FunnyBuddys,FunnyBuddys,Diamant,,,,
Fusel_Gambit,Fusel_Gambit,Diamant,,,,
Gabkano,Gabkano,Diamant,,,,
Gelegenheitsheld,Gelegenheitsheld,Diamant,,,,
GenervterGuenther,Guenther,Diamant,,,,
Gerasal,Gerasal,Diamant,,,,
Gewehr_wolf,Gewehr_wolf,Diamant,,,,
GhostRiders,Ghost_Riders9895,Diamant,,,,
Glorator,Glorator,Diamant,,,,
GogoLoris,GogoLoris,Diamant,,,,
Goliath021291,Goliath021291,Diamant,,,,
Gramardy,Gramardy,Diamant,,,,
Grandmaster96,Grandmaster96,Diamant,,,,
Grauer_Rabe,Grauer_Rabe,Diamant,,,,
GrimReaper88,GrimReaper,Diamant,,,,
GrimShad0w,GrimShad0w,Diamant,,,,
grosservogi,Grosser Vogi,Diamant,,,,
gsandrog,Lindrog,Diamant,,,,
Gschwene,Gschwene,Diamant,,,,
gtm,Marc,Diamant,,,,
Guerkchen3004,Blackpool005,Diamant,,,,
Gundha,Gundha,Diamant,,,,
Gunzi84,Gunzi,Diamant,,,,
Gustav_Jung,Gustav_Jung,Diamant,,,,
Gyffes,Gyffes,Diamant,,,,
haarige_Knete,haarige Knete,Diamant,,,,
Hagbard32,Hagbard32,Diamant,,,,
HakkeJoe,HakkeJoe,Diamant,,,,
Hank_GER,Ralf Hank,Diamant,,,,
Hans_Trollo,Hans Trollo,Diamant,,,,
Hanseatic_Ghost,Hanseatic Ghost,Diamant,,,,
Hanz99,Hanz,Diamant,,,,
haoskid,haoskid,Diamant,,,,
HappyDE,Happy,Diamant,,,,
Haribo_Kruppstahlbaerchen,Haribo_Kruppstahlbaerchen,Diamant,,,,
Haschem_Balu,Haschem,Diamant,,,,
Hasenpfote1,Hasenpfote1,Diamant,,,,
Hebebe,Hebebe,Diamant,,,,
heckefraesch,Heckefraesch,Diamant,,,,
Helgator,Sytex,Diamant,,,,
HellionVeil,Joseph Gallager,Diamant,,,,
HexVectora,hex0x,Diamant,,,,
Hibachi,Seraphita,Diamant,,,,
HiksKonari,Hiks,Diamant,,,,
HiraelBHV,Hirael,Diamant,,,,
HoniSoitQuiMalyYPens,Wolf1Alpha1Omega,Diamant,,,,
Hoppensted,Hoppensted,Diamant,,,,
Hordentlich,Hordentlich,Diamant,,,,
Hordika,Hordika,Diamant,,,,
Hoschy2k,Hoschy,Diamant,,,,
Hotzen,plotz,Diamant,,,,
Houdini21,Houdini21,Diamant,,,,
Hovenberg,Hovenberg,Diamant,,,,
howlwolf,Wolf,Diamant,,,,
Hrodbehrt,Hrodbehrt,Diamant,,,,
HTO,Vivien Raid,Diamant,,,,
HueyShadowfire,HueyShadowfire,Diamant,,,,
HuMa892,HuMa892,Diamant,,,,
Husumer,Husumer,Diamant,,,,
HydrawolfXD,Hydrawolf,Diamant,,,,
I_O_I_1_0_1,IOI,Diamant,,,,
iBacchus,iBacchus,Diamant,,,,
Iceonly,Iceonly,Diamant,,,,
IceWlf,IceWlf,Diamant,,,,
Ich_Wars,Ich Wars,Diamant,,,,
ihoa,Ihoa,Diamant,,,,
IllroyGER,Illroy(GER),Diamant,,,,
Iluvartar,Iluvartar,Diamant,,,,
Imhutep2500,Imhutep2500,Diamant,,,,
Inferia,Inferia,Diamant,,,,
Inkuraa,Inkuraa,Diamant,,,,
insomn1a,insomn1a,Diamant,,,,
interents,interents,Diamant,,,,
J0HN-CITIZEN,John Citizen,Diamant,,,,
J0kerMDK,J0kerMDK,Diamant,,,,
J0rd4-n,J0rd4-n,Diamant,,,,
J14lingz,J14lingz,Diamant,,,,
J_Tock,Jack Tock,Diamant,,,,
Jabiru,Jabiru,Diamant,,,,
JackReily,Jack Reily,Diamant,,,,
JackWolfman,Jack Wolfman,Diamant,,,,
Jahuul,Jahuul,Diamant,,,,
Jamba915,Jamba,Diamant,,,,
Jamboo,Jamboo,Diamant,,,,
Jan-Hinnerk,Jan-Hinnerk,Diamant,,,,
Janes77,Janes77,Diamant,,,,
JanSolo_1337,JanSolo_1337,Diamant,,,,
japakue,japakue,Diamant,,,,
JaTyr,Jason Tyrell,Diamant,,,,
Jaxtom-D,Vollstrecker,Diamant,,,,
Jeff-Marxon,Jeff Marxon,Diamant,,,,
JenkinsGamble,Jenkins Gamble,Diamant,,,,
ji11er,ji11er,Diamant,,,,
Jiggawatts,Jiggawatts,Diamant,,,,
JimJace33,JimJace33,Diamant,,,,
Jkb_Brhf,Jkb_Brhf,Diamant,,,,
joe703,joe703,Diamant,,,,
Joe_TN,Joe_TN,Diamant,,,,
Joern_H,Joern_H,Diamant,,,,
John699,John699,Diamant,,,,
JohnnyLong89,Johnnylong89,Diamant,,,,
johnrobie,John.Robie,Diamant,,,,
JohnSwagger,John Swagger,Diamant,,,,
Jolor1991,Jolor,Diamant,,,,
Jonn80,Jonn80,Diamant,,,,
Jorganius,Jorganius,Diamant,,,,
Jorgessen,Jorgessen,Diamant,,,,
jori,Jorin,Diamant,,,,
JSpacer,JSpacer,Diamant,,,,
JT1T4N,JT1T4N,Diamant,,,,
Jugl,Captain Ahab,Diamant,,,,
Jusdie,Feldwebel Diehl,Diamant,,,,
just_ceejay,just_ceejay,Diamant,,,,
JustInto_Fent,JustInto_Fent,Diamant,,,,
K0mpl3X,Kompi,Diamant,,,,
K4m1K4tz3,K4m1K4tz3,Diamant,,,,
k4xn,Kaan2106,Diamant,,,,
KackbratzenKind,Kenneth,Diamant,,,,
KakaoFan,KakaoFan,Diamant,,,,
Karazun,Karazun,Diamant,,,,
KawaiiGalaxy,KawaiiGalaxy,Diamant,,,,
Kazuhira_Miller,Kazuhira_Miller,Diamant,,,,
Keanny90,Keanny90,Diamant,,,,
KeenBockMeer,KeenBockMeer,Diamant,,,,
Kefka,Kefka,Diamant,,,,
KeinPlan1969,Kein_Plan,Diamant,,,,
KENWOODKILA,KENWOODKILA,Diamant,,,,
KevinPlayer,Kevin_Player,Diamant,,,,
khornate,Khornate,Diamant,,,,
Khosh,Khosh,Diamant,,,,
Khrook,Thorn,Diamant,,,,
Kiel_Holen,Kiel Holen,Diamant,,,,
Kiese,Kiese,Diamant,,,,
Killahwurst,Killahwurst,Diamant,,,,
KilledByNpc,Nxah407,Diamant,,,,
KingMuffin,KingMuffin,Diamant,,,,
KiNoHige,KiNoHige,Diamant,,,,
Kirito2712,Kirito2712,Diamant,,,,
