rsi_handle;display;rank;roles;discord_nickname_manual;discord_nickname_suggested;match_prozent;zertifiziert
Frihed1007;Frihed1007;Diamant;;;Frihed1007;100%;
FritzP;Fritz;Diamant;;;Mumpfritz;71%;
FunnyBuddys;FunnyBuddys;Diamant;;;FunnyBuddys;100%;
Fusel_Gambit;Fusel_Gambit;Diamant;;;Fusel_Gambit;100%;
Gelegenheitsheld;Gelegenheitsheld;Diamant;;;gelegenheitsheld_;97%;
GenervterGuenther;Guenther;Diamant;;;;;
Gerasal;Gerasal;Diamant;;;;;
Gewehr_wolf;Gewehr_wolf;Diamant;;;Gewehr_wolf;100%;
Glorator;Glorator;Diamant;;;;;
GogoLoris;GogoLoris;Diamant;;;GogoLoris;100%;
Goliath021291;Goliath021291;Diamant;;;;;
Grandmaster96;Grandmaster96;Diamant;;;grandmaster1996.;90%;
Grauer_Rabe;Grauer_Rabe;Diamant;;;;;
GrimReaper88;GrimReaper;Diamant;;;;;
GrimShad0w;GrimShad0w;Diamant;;;gr1msh4d0w;80%;
grosservogi;Grosser Vogi;Diamant;;;;;
gsandrog;Lindrog;Diamant;;;Lindrog;100%;
Gschwene;Gschwene;Diamant;;;;;
Guerkchen3004;Blackpool005;Diamant;;;guerkchen3004;100%;
Gundha;Gundha;Diamant;;;;;
Gunzi84;Gunzi;Diamant;;;Gunzi;100%;
Gustav_Jung;Gustav_Jung;Diamant;;;;;
Gyffes;Gyffes;Diamant;;;Gyffes;100%;
haarige_Knete;haarige Knete;Diamant;;;;;
Hagbard32;Hagbard32;Diamant;;;HagbardCeline32;75%;
HakkeJoe;HakkeJoe;Diamant;;;hakkejoe;100%;
Hank_GER;Ralf Hank;Diamant;;;;;
Hans_Trollo;Hans Trollo;Diamant;;;;;
Hanseatic_Ghost;Hanseatic Ghost;Diamant;;;hanseaticghost;97%;
Hanz99;Hanz;Diamant;;;;;
haoskid;haoskid;Diamant;;;;;
HappyDE;Happy;Diamant;;;;;
Haribo_Kruppstahlbaerchen;Haribo_Kruppstahlbaerchen;Diamant;;;haribo_kruppstahlbaerchen;100%;
Haschem_Balu;Haschem;Diamant;;;;;
Hasenpfote1;Hasenpfote1;Diamant;;;Hasenpfote;95%;
Hebebe;Hebebe;Diamant;;;;;
heckefraesch;Heckefraesch;Diamant;;;;;
HellionVeil;Joseph Gallager;Diamant;;;HellionVeil;100%;
HexVectora;hex0x;Diamant;;;hex0x;100%;
HiksKonari;Hiks;Diamant;;;;;
HiraelBHV;Hirael;Diamant;;;;;
HoniSoitQuiMalyYPens;Wolf1Alpha1Omega;Diamant;;;;;
Hoppensted;Hoppensted;Diamant;;;Hoppensted;100%;
Hordentlich;Hordentlich;Diamant;;;;;
Hordika;Hordika;Diamant;;;Hordika;100%;
Hoschy2k;Hoschy;Diamant;;;;;
Hotzen;plotz;Diamant;;;;;
Houdini21;Houdini21;Diamant;;;;;
Hovenberg;Hovenberg;Diamant;;;;;
howlwolf;Wolf;Diamant;;;;;
Hrodbehrt;Hrodbehrt;Diamant;;;;;
HTO;Vivien Raid;Diamant;;;;;
HuMa892;HuMa892;Diamant;;;;;
Husumer;Husumer;Diamant;;;;;
I_O_I_1_0_1;IOI;Diamant;;;;;
iBacchus;iBacchus;Diamant;;;iBacchus;100%;
IceWlf;IceWlf;Diamant;;;;;
ihoa;Ihoa;Diamant;;;;;
IllroyGER;Illroy(GER);Diamant;;;;;
Imhutep2500;Imhutep2500;Diamant;;;;;
Inkuraa;Inkuraa;Diamant;;;;;
insomn1a;insomn1a;Diamant;;;;;
interents;interents;Diamant;;;Winterboten;70%;
J0HN-CITIZEN;John Citizen;Diamant;;;;;
J0kerMDK;J0kerMDK;Diamant;;;;;
J0rd4-n;J0rd4-n;Diamant;;;;;
J14lingz;J14lingz;Diamant;;;;;
J_Tock;Jack Tock;Diamant;;;j.tock;83%;
JackReily;Jack Reily;Diamant;;;JReily;80%;
Jahuul;Jahuul;Diamant;;;;;
Jamba915;Jamba;Diamant;;;;;
Jamboo;Jamboo;Diamant;;;;;
Jan-Hinnerk;Jan-Hinnerk;Diamant;;;Jan-Hinnerk;100%;
Janes77;Janes77;Diamant;;;;;
JanSolo_1337;JanSolo_1337;Diamant;;;jansolo1337;96%;
JaTyr;Jason Tyrell;Diamant;;;;;
Jaxtom-D;Vollstrecker;Diamant;;;;;
Jeff-Marxon;Jeff Marxon;Diamant;;;;;
JenkinsGamble;Jenkins Gamble;Diamant;;;;;
ji11er;ji11er;Diamant;;;;;
JimJace33;JimJace33;Diamant;;;;;
Jkb_Brhf;Jkb_Brhf;Diamant;;;;;
joe703;joe703;Diamant;;;joe703;100%;
Joe_TN;Joe_TN;Diamant;;;;;
Joern_H;Joern_H;Diamant;;;;;
John699;John699;Diamant;;;;;
JohnnyLong89;Johnnylong89;Diamant;;;;;
JohnSwagger;John Swagger;Diamant;;;;;
Jolor1991;Jolor;Diamant;;;Jolor;100%;
Jonn80;Jonn80;Diamant;;;;;
Jorganius;Jorganius;Diamant;;;Jorganius;100%;
Jorgessen;Jorgessen;Diamant;;;;;
jori;Jorin;Diamant;;;;;
JSpacer;JSpacer;Diamant;;;;;
JT1T4N;JT1T4N;Diamant;;;JTIT4N;83%;
Jugl;Captain Ahab;Diamant;;;;;
Jusdie;Feldwebel Diehl;Diamant;;;Jusdie;100%;
just_ceejay;just_ceejay;Diamant;;;;;
JustInto_Fent;JustInto_Fent;Diamant;;;;;
K0mpl3X;Kompi;Diamant;;;;;
K4m1K4tz3;K4m1K4tz3;Diamant;;;;;
k4xn;Kaan2106;Diamant;;;;;
KackbratzenKind;Kenneth;Diamant;;;;;
KakaoFan;KakaoFan;Diamant;;;;;
KawaiiGalaxy;KawaiiGalaxy;Diamant;;;;;
Kazuhira_Miller;Kazuhira_Miller;Diamant;;;;;
Keanny90;Keanny90;Diamant;;;Keanny90;100%;
KeenBockMeer;KeenBockMeer;Diamant;;;;;
KeinPlan1969;Kein_Plan;Diamant;;;kevin_player_;73%;
KENWOODKILA;KENWOODKILA;Diamant;;;Kenwoodkila;100%;
KevinPlayer;Kevin_Player;Diamant;;;kevin_player_;96%;
khornate;Khornate;Diamant;;;;;
Khosh;Khosh;Diamant;;;;;
Kiel_Holen;Kiel Holen;Diamant;;;;;
Kiese;Kiese;Diamant;;;kiese2309;71%;
Killahwurst;Killahwurst;Diamant;;;killahwurst;100%;
KilledByNpc;Nxah407;Diamant;;;;;
KingMuffin;KingMuffin;Diamant;;;;;
KiNoHige;KiNoHige;Diamant;;;;;
Kirito2712;Kirito2712;Diamant;;;;;
kisural;kisural;Diamant;;;Kisu;73%;
Klars_Flight;Klars_Flight;Diamant;;;;;
Klobrille;Klobrille;Diamant;;;;;
Kluntjes;Kluntjes;Diamant;;;;;
